timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1374486818614,1406,SC01_01_HomePage_SALTARE,200,"Number of samples in transaction : 5, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,20430,1,1,0,1,0
1374486820580,1474,SC01_02_Login_Admin,200,"Number of samples in transaction : 6, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,30601,1,1,0,1,0
1374486829694,745,SC01_03_Click_Batch_Registration,200,"Number of samples in transaction : 1, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,4916,1,1,0,1,0
1374486830449,4508,SC01_04_Click_New_Batch,200,"Number of samples in transaction : 3, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,3414,1,1,0,1,0
1374486842617,751,SC01_05_Browse_Submit,200,"Number of samples in transaction : 1, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,13914,1,1,0,1,0
1374486843385,2971,SC01_06_Search_Institution_Submit,200,"Number of samples in transaction : 3, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,11595,1,1,0,1,0
1374486859292,340,SC01_07_View_Teachr_BatchLoad_Status,200,"Number of samples in transaction : 1, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,7549,1,1,0,1,0
1374486865796,259,SC01_08_Logout,200,"Number of samples in transaction : 4, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,18707,1,1,0,1,0
1374486866247,575,SC02_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,10841,1,1,0,1,0
1374486866860,6525,SC02_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,59443,1,1,0,1,0
1374486873442,4477,SC02_03_Complete_Profile,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,22644,1,1,0,1,0
1374486913093,1876,SC02_04_Click_Settings,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,8539,1,1,0,1,0
1374486915000,953,SC02_05_Click_CreateNewCourse,200,"Number of samples in transaction : 3, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,14910,1,1,0,1,0
1374486923533,2296,SC02_06_AddCourseNameEndDate_ClickCreateCourse,200,"Number of samples in transaction : 2, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,15210,1,1,0,1,0
1374486925845,4973,SC02_07_Click_Print,200,"Number of samples in transaction : 2, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,35279,1,1,0,1,0
1374486940759,644,SC02_08_nMEL_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,8562,1,1,0,1,0
1374486941438,398,SC03_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,12025,1,1,0,1,0
1374486941859,5365,SC03_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,66886,1,1,0,1,0
1374486947281,985,SC03_03_Click_Settings,200,"Number of samples in transaction : 3, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,9020,1,1,0,1,0
1374486948282,739,SC03_04_Click_Edit,200,"Number of samples in transaction : 2, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,7370,1,1,0,1,0
1374486949033,1769,SC03_05_Click_RegisterNewStudents,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,13496,1,1,0,1,0
1374486950820,1277,SC03_06_BrowseBatchFile_Upload,200,"Number of samples in transaction : 1, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,4441,1,1,0,1,0
1374486952106,13656,SC03_07_SubmitBatch_WaitForSuccess,200,"Number of samples in transaction : 19, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,87016,1,1,0,1,0
1374487011024,817,SC03_08_nMEL_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,8560,1,1,0,1,0
1374487011875,443,SC04_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,12550,1,1,0,1,0
1374487012333,5681,SC04_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,70286,1,1,0,1,0
1374487037965,1401,SC04_03_Click_Course_TAB,200,"Number of samples in transaction : 3, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,4474,1,1,0,1,0
1374487039381,665,SC04_04_Click_Course_IELTS_1,200,"Number of samples in transaction : 2, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,4399,1,1,0,1,0
1374487041608,716,SC04_05_Click_Unit_Speaking,200,"Number of samples in transaction : 1, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,2438,1,1,0,1,0
1374487049791,779,SC04_06_Click_Assign_EX1,200,"Number of samples in transaction : 2, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,18884,1,1,0,1,0
1374487058248,1862,SC04_07_SelectAllStudents_Assign_EX1,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,31103,1,1,0,1,0
1374487063529,759,SC04_08_nMEL_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,8566,1,1,0,1,0
1374487064393,0,STUDENT ID : 620,200,OK,SC05 - All Students Take Activity in Course 3-1,text,true,,1960,1,1,0,1,0
1374487064493,0,STUDENT ID : 621,200,OK,SC05 - All Students Take Activity in Course 3-2,text,true,,1960,2,2,0,1,0
1374487064531,0,STUDENT ID : 622,200,OK,SC05 - All Students Take Activity in Course 3-3,text,true,,1960,3,3,0,1,0
1374487064671,0,STUDENT ID : 623,200,OK,SC05 - All Students Take Activity in Course 3-4,text,true,,1960,4,4,0,1,0
1374487064717,0,STUDENT ID : 624,200,OK,SC05 - All Students Take Activity in Course 3-5,text,true,,1959,5,5,0,1,0
1374487064827,0,STUDENT ID : 625,200,OK,SC05 - All Students Take Activity in Course 3-6,text,true,,1960,6,6,0,1,0
1374487064874,1,STUDENT ID : 626,200,OK,SC05 - All Students Take Activity in Course 3-7,text,true,,1960,7,7,0,1,0
1374487065023,0,STUDENT ID : 627,200,OK,SC05 - All Students Take Activity in Course 3-9,text,true,,1960,8,8,0,1,0
1374487065031,0,STUDENT ID : 628,200,OK,SC05 - All Students Take Activity in Course 3-8,text,true,,1960,9,9,0,1,0
1374487065084,0,STUDENT ID : 629,200,OK,SC05 - All Students Take Activity in Course 3-10,text,true,,1963,10,10,0,1,0
1374487065143,0,STUDENT ID : 630,200,OK,SC05 - All Students Take Activity in Course 3-11,text,true,,1963,11,11,0,1,0
1374487065212,0,STUDENT ID : 631,200,OK,SC05 - All Students Take Activity in Course 3-12,text,true,,1963,12,12,0,1,0
1374487065274,0,STUDENT ID : 632,200,OK,SC05 - All Students Take Activity in Course 3-13,text,true,,1963,13,13,0,1,0
1374487065335,0,STUDENT ID : 633,200,OK,SC05 - All Students Take Activity in Course 3-14,text,true,,1963,14,14,0,1,0
1374487065394,0,STUDENT ID : 634,200,OK,SC05 - All Students Take Activity in Course 3-15,text,true,,1963,15,15,0,1,0
1374487064531,858,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-3,,true,,10871,15,15,0,1,0
1374487065447,0,STUDENT ID : 635,200,OK,SC05 - All Students Take Activity in Course 3-16,text,true,,1963,16,16,0,1,0
1374487065505,1,STUDENT ID : 636,200,OK,SC05 - All Students Take Activity in Course 3-17,text,true,,1962,17,17,0,1,0
1374487065564,0,STUDENT ID : 637,200,OK,SC05 - All Students Take Activity in Course 3-18,text,true,,1963,18,18,0,1,0
1374487065632,4,STUDENT ID : 638,200,OK,SC05 - All Students Take Activity in Course 3-19,text,true,,1963,19,19,0,1,0
1374487065683,0,STUDENT ID : 639,200,OK,SC05 - All Students Take Activity in Course 3-20,text,true,,1963,20,20,0,1,0
1374487064672,1644,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-4,,true,,10865,20,20,0,1,0
1374487064875,2114,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-7,,true,,10868,20,20,0,1,0
1374487065032,2400,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-8,,true,,10866,20,20,0,1,0
1374487065144,2333,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-11,,true,,10869,20,20,0,1,0
1374487064394,3195,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-1,,true,,10868,20,20,0,1,0
1374487065275,2941,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-13,,true,,10870,20,20,0,1,0
1374487064494,3724,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-2,,true,,10801,20,20,0,1,0
1374487064828,3484,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-6,,true,,10736,20,20,0,1,0
1374487065636,2742,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-19,,true,,10871,20,20,0,1,0
1374487065565,2838,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-18,,true,,10800,20,20,0,1,0
1374487065395,3413,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-15,,true,,10869,20,20,0,1,0
1374487065447,4079,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-16,,true,,10872,20,20,0,1,0
1374487065213,4340,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-12,,true,,10870,20,20,0,1,0
1374487065506,4210,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-17,,true,,10810,20,20,0,1,0
1374487064718,5116,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-5,,true,,10809,20,20,0,1,0
1374487065684,4602,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-20,,true,,10873,20,20,0,1,0
1374487065336,5072,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-14,,true,,10870,20,20,0,1,0
1374487065086,5753,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-10,,true,,10868,20,20,0,1,0
1374487065024,5950,SC05_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-9,,true,,10868,20,20,0,1,0
1374487065423,38744,SC05_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-3,,true,,63574,20,20,0,1,0
1374487067617,36561,SC05_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-1,,true,,63565,20,20,0,1,0
1374487068409,35813,SC05_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-19,,true,,63582,20,20,0,1,0
1374487067017,37858,SC05_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-7,,true,,63557,20,20,0,1,0
1374487068246,36866,SC05_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-2,,true,,63567,20,20,0,1,0
1374487067460,37691,SC05_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-8,,true,,63566,20,20,0,1,0
1374487069552,36085,SC05_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-16,,true,,63584,20,20,0,1,0
1374487069742,36033,SC05_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-17,,true,,63582,20,20,0,1,0
1374487070866,35070,SC05_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-10,,true,,63579,20,20,0,1,0
1374487071003,35427,SC05_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC05 - All Students Take Activity in Course 3-9,,true,,63562,20,20,0,1,0
